Threads,TotalOps,Seconds,ThroughputOpsPerSec
WORKLOAD 100C-0I-0D
1,39122818,9.999946,3912302.79
2,26309200,9.999829,2630964.96
4,28511165,9.999807,2851171.57
6,28173098,9.999615,2817418.16
8,27380569,9.999519,2738188.65
10,33125335,9.999528,3312689.81
12,27666071,9.999334,2766791.31
14,26030288,9.999248,2603224.64
16,26271600,9.999237,2627360.59
WORKLOAD 90C-9I-1D
1,20738840,9.999962,2073891.92
2,13063250,9.999875,1306341.29
4,15207870,9.995496,1521472.28
6,12782907,9.999659,1278334.35
8,12556173,9.999670,1255658.73
10,12487617,9.999395,1248837.28
12,12649853,9.999329,1265070.19
14,15541064,9.999211,1554229.08
16,12680133,9.998812,1268163.95
WORKLOAD 50C-25I-25D
1,15983078,9.999946,1598316.42
2,9388317,9.999797,938850.76
4,11086261,9.999734,1108655.57
6,9364839,9.999638,936517.82
8,11490746,9.999564,1149124.68
10,9412597,9.999499,941306.89
12,9765643,9.998950,976666.88
14,9149463,9.999340,915006.69
16,9348861,9.999007,934978.93
WORKLOAD 30C-35I-35D
1,14782390,9.999946,1478246.97
2,8560118,9.999828,856026.49
4,10403724,9.999721,1040401.41
6,8904686,9.999569,890506.95
8,8283008,9.999559,828337.30
10,9987608,9.999419,998818.81
12,8544992,9.999372,854552.84
14,8272209,9.999123,827293.44
16,9846159,9.999278,984686.96
WORKLOAD 0C-50I-50D
1,12126562,9.999951,1212662.18
2,7522213,9.999805,752235.97
4,8986430,9.999731,898667.17
6,8704558,9.999601,870490.56
8,7509095,9.999224,750967.75
10,7741787,9.999432,774222.69
12,8479906,9.999246,848054.51
14,7656309,9.999347,765680.89
16,7284296,9.998420,728544.68
