Threads,TotalOps,Seconds,ThroughputOpsPerSec
WORKLOAD 100C-0I-OD
1,10702,9.997757,1070.44
2,10351,10.001820,1034.91
4,9961,10.005083,995.59
6,10165,10.006862,1015.80
8,10599,10.008679,1058.98
10,9852,10.010099,984.21
12,9530,10.011676,951.89
14,9984,10.018473,996.56
16,9888,9.991845,989.61
WORKLOAD 90C-9I-1D
1,11223,10.000149,1122.28
2,10045,10.001067,1004.39
4,9997,10.006883,999.01
6,10048,10.007502,1004.05
8,10234,10.008551,1022.53
10,9578,10.010976,956.75
12,9848,10.009822,983.83
14,9923,9.988197,993.47
16,9782,10.019731,976.27
WORKLOAD 50C-25I-25D
1,9672,9.999941,967.21
2,9891,10.002149,988.89
4,10194,10.005295,1018.86
6,10232,10.005107,1022.68
8,9923,10.010393,991.27
10,10267,10.011201,1025.55
12,9712,10.014751,969.77
14,10004,10.016478,998.75
16,9848,10.013582,983.46
WORKLOAD 30C-35I-35D
1,10487,10.001031,1048.59
2,9836,10.001955,983.41
4,10103,10.002726,1010.02
6,10030,10.005566,1002.44
8,10109,10.005162,1010.38
10,10135,10.008670,1012.62
12,10401,10.014395,1038.60
14,10028,10.014319,1001.37
16,10290,10.017978,1027.15
WORKLOAD 0C-50I-50D
1,10600,9.999975,1060.00
2,9869,10.001924,986.71
4,9980,10.002857,997.71
6,9970,10.005641,996.44
8,10295,10.010013,1028.47
10,9885,10.011180,987.40
12,9900,10.013621,988.65
14,10268,10.017905,1024.96
16,10849,10.014030,1083.38
