Threads,TotalOps,Seconds,ThroughputOpsPerSec
WORKLOAD 100C-0C-0D
1,578985,9.999967,57898.69
2,568447,9.999874,56845.42
4,563747,9.999786,56375.91
6,581606,9.999681,58162.46
8,584233,9.999636,58425.42
10,568168,9.999508,56819.59
12,567028,9.999470,56705.80
14,2131362,9.998964,213158.29
16,571880,9.999068,57193.33
WORKLOAD 90C-9I-9D
1,588461,9.999941,58846.44
2,550963,9.999838,55097.19
4,524855,9.999717,52486.98
6,532970,9.999703,53298.58
8,545626,9.999702,54564.23
10,546913,9.999439,54694.37
12,543773,9.999338,54380.90
14,1737173,9.998906,173736.30
16,523481,9.999387,52351.31
WORKLOAD 50C-25I-25D
1,582556,9.999932,58255.99
2,534117,9.999898,53412.25
4,536392,9.999775,53640.41
6,509456,9.999679,50947.24
8,517148,9.999780,51715.94
10,530252,9.999530,53027.69
12,1702585,9.999414,170268.47
14,523750,9.999376,52378.27
16,501739,9.999206,50177.89
WORKLOAD 30C-35I-35D
1,553464,9.999917,55346.86
2,525779,9.999861,52578.63
4,523238,9.999879,52324.43
6,527848,9.999753,52786.10
8,1630878,9.999514,163095.73
10,513811,9.999629,51383.01
12,523686,9.999474,52371.36
14,521081,9.999487,52110.77
16,517564,9.999297,51760.04
WORKLOAD 0C-50I-50D
1,542352,9.999950,54235.47
2,505522,9.999865,50552.88
4,596367,9.999853,59637.57
6,519217,9.999696,51923.28
8,519163,9.999638,51918.18
10,493215,9.999532,49323.81
12,504370,9.999420,50439.92
14,501358,9.999378,50138.92
16,1149828,9.998960,114994.76
