Threads,TotalOps,Seconds,ThroughputOpsPerSec
WORKLOAD 100C-0I-0D
1,557512,9.999961,55751.42
2,7149033,9.999774,714919.45
4,2229785,9.999710,222984.96
6,3288946,9.999548,328909.47
8,4126396,9.999178,412673.53
10,4903522,9.999387,490382.26
12,5357927,9.999099,535840.97
14,5552005,9.999016,555255.12
16,5610540,9.998969,561111.86
WORKLOAD 90C-9I-9D
1,586614,9.999924,58661.84
2,1912585,9.999866,191261.07
4,1843815,9.999650,184387.95
6,2565585,9.999622,256568.20
8,3221157,9.999419,322134.41
10,3595150,9.999212,359543.33
12,3614906,9.999112,361522.70
14,3730863,9.999178,373116.96
16,3699023,9.998984,369939.89
WORKLOAD 50C-25I-25D
1,807514,9.999932,80751.95
2,1014168,9.999888,101417.93
4,1837006,9.999724,183705.67
6,2532345,9.999596,253244.72
8,3061444,9.999457,306161.02
10,3438418,9.999095,343872.92
12,6843777,9.999201,684432.40
14,3594939,9.999094,359526.47
16,3589233,9.998951,358960.96
WORKLOAD 30C-35I-35D
1,528230,9.999929,52823.38
2,1041670,9.999888,104168.17
4,1909867,9.999770,190991.09
6,5186438,9.999636,518662.70
8,3265202,9.999495,326536.70
10,3319352,9.999326,331957.58
12,3532064,9.999041,353240.26
14,3543593,9.999046,354393.10
16,3859424,9.999269,385970.60
WORKLOAD 0C-50I-50D
1,552335,9.999934,55233.86
2,969279,9.999867,96929.18
4,1871803,9.999743,187185.11
6,2653731,9.999555,265384.90
8,4961169,9.999434,496144.99
10,3384502,9.999212,338476.87
12,3148370,9.999268,314860.06
14,3292199,9.999043,329251.40
16,5197094,9.998979,519762.49

