Threads,TotalOps,Seconds,ThroughputOpsPerSec
WORKLOAD 100C-0I-0D
1,38812124,9.999903,3881250.06
2,32693133,9.999780,3269385.34
4,27439527,9.999775,2744014.42
6,25488987,9.999707,2548973.32
8,30775156,9.999687,3077612.00
10,25273791,9.999531,2527497.63
12,25982084,9.999461,2598348.45
14,28307053,9.999309,2830900.97
16,26428618,9.999376,2643026.70
WORKLOAD 90C-9I-1D
1,15890147,9.999948,1589022.91
2,11978899,9.999786,1197915.49
4,9917372,9.999746,991762.42
6,10106861,9.999689,1010717.58
8,11878905,9.999523,1187947.14
10,9823957,9.999500,982444.86
12,9726213,9.998802,972737.83
14,10112183,9.999229,1011296.32
16,9639334,9.999260,964004.75
WORKLOAD 50C-25I-25D
1,13589148,9.999961,1358920.16
2,7758537,9.999845,775865.69
4,8791120,9.999698,879138.51
6,7590946,9.999700,759117.36
8,8540303,9.999323,854088.10
10,7444623,9.999550,744495.77
12,8545668,9.999150,854639.48
14,7525941,9.999247,752650.74
16,8591350,9.999250,859199.41
WORKLOAD 30C-35I-35D
1,11174678,9.999911,1117477.70
2,7894795,9.999874,789489.46
4,7064260,9.999729,706445.13
6,7399800,9.999604,740009.30
8,7096602,9.999593,709689.07
10,7222386,9.999628,722265.49
12,6965443,9.999469,696581.26
14,7109012,9.999421,710942.33
16,6903538,9.999012,690421.99
WORKLOAD 0C-50I-50D
1,10543884,9.999971,1054391.46
2,7543667,9.999856,754377.56
4,6776541,9.999757,677670.55
6,6871013,9.999720,687120.52
8,7217785,9.999402,721821.64
10,6393972,9.999645,639419.89
12,6881147,9.999299,688162.95
14,7256147,9.999293,725666.01
16,6658280,9.999294,665875.01

